"","gov_effect","trade","ineq","gdp_pc","pop_tot","older_m","older_f","air_travel","fdi","pop_density","urban","migration_share","oil","soc_insur_cov","soc_contrib","soc_safety","country_id"
"82",-1.48785,57.7908624548408,NA,1949.17757012701,1874309,20356,32571,NA,20553776.349135,66.6539473684211,NA,1.21090371816247,0,NA,NA,NA,"GNB"
"83",-0.2694839,82.5941243423119,NA,9312.14664957379,779004,22940,27306,26069,1180405596.06866,3.95734823469647,NA,2.00551438236962,0,NA,NA,NA,"GUY"
"84",1.903607,376.50307803733,NA,61234.9685183972,7451000,586214,671164,47101822,97036255478.9459,7096.19047619048,99.7032210441551,38.9499399216491,0,NA,NA,NA,"HKG"
"85",-0.6206585,102.558376854398,39.1,5672.253309629,9587522,202551,247164,411989,1442587576.2096,85.6870319063366,14.2168226576168,0.3476135161844,0,2.71743333819519,12.6449287100257,54.2167610960566,"HND"
"86",0.4569183,101.878193392406,NA,27648.7391736788,4087843,332998,502825,2093577,1212763554.01445,73.0493745532523,NA,13.6047139871854,0.233169240780372,57.5129301257952,30.0197337927516,24.569462541706,"HRV"
"87",-1.909054,75.5493840643663,NA,1767.17611999367,11123176,244080,306461,NA,1.05e+08,403.59854862119,23.7051270248713,0.369048200333356,0,0.37097142559664,NA,19.1282607071096,"HTI"
"88",0.4873109,165.503988872482,NA,31072.9044219454,9775564,706752,1166031,31226848,-65534350921.8198,107.981486799956,17.9989308033787,4.56246525249104,0.0968989783771539,NA,30.2632397917377,NA,"HUN"
"89",0.1798754,43.0216641190178,30.4,11369.5145343192,267663435,7095983,8581490,115154100.909,18909826043.5105,147.75219008926,13.3834074123722,0.127675543243526,0.833944964021027,8.17875443870597,NA,48.740227165522,"IDN"
"90",1.420338,211.511074359352,NA,83470.744033979,4867309,316661,358243,167598633,64535780983.1594,70.6533459137756,24.6835777223102,15.9169365666588,0,NA,16.8870819502735,NA,"IRL"
"91",1.208207,58.4646316313834,NA,39543.2202459956,8882800,473545,590349,7404373,20788600000,410.480591497227,57.930157157653,24.9469000386407,0.00175051790628458,NA,17.4454746809867,NA,"ISR"
"92",NA,NA,NA,NA,84077,NA,NA,NA,NA,147.50350877193,NA,51.516290726817,NA,NA,NA,NA,"IMN"
"93",0.2830485,43.3776530853232,NA,6537.89783564094,1352617328,40199344,43391833,164035637.545,42117450737.2644,454.938072575247,15.4350806157941,0.399752709149401,0.322350870613227,17.6635167975397,0.180901966394837,93.2498256011149,"IND"
"94",-1.320548,79.9178311813097,NA,10660.1858283564,38433600,574380,703001,2075065.8,-4885100000,88.5305700354617,25.0774660713542,0.9715760982742,37.7823442061583,26.3644655457086,0.000163267852843483,75.7725532300539,"IRQ"
"95",-0.4302173,NA,NA,NA,81800269,2626840,2432221,25604871.412779,3480333000,50.222420123284,25.9887213818331,3.44639753479213,15.3437989277945,NA,NA,NA,"IRN"
"96",1.465655,91.3494442636095,NA,56591.7160157098,352721,24836,27349,7819740.55998243,-612404228.095521,3.51841396508728,NA,11.3901495029218,0,NA,8.66802012534204,NA,"ISL"
"97",0.4138835,60.4077813942892,NA,42188.506869234,60421760,5961868,7785219,27630435.6,39613297744.1484,205.418372203713,18.7441544238367,9.6807677420957,0.0394712461123944,NA,33.0728783436534,NA,"ITA"
"98",1.259951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JEY"
"99",0.4967112,89.0263817389479,NA,9737.98165571679,2934855,125125,133045,180951.272,774620603.11409,270.993074792244,NA,0.829367046917036,0,4.3422880963409,NA,54.967577582214,"JAM"
"100",0.112718,90.197443855468,NA,9853.92721328067,9956011,179856,203118,3383805,949859154.929577,112.14249831043,20.7370401659862,40.9771116038916,0.000869958084578267,28.234611765928,0.134385402539761,65.6779726355497,"JOR"
"101",1.675817,36.6411615790384,NA,41205.9647146101,126529100,15185127,19708026,126387527,24605910854.4883,347.073458415624,64.6280420867611,1.61477505702794,0.00203862836216945,NA,0.679821016087179,NA,"JPN"
"102",-0.4108523,36.1812040126056,NA,4192.8021984367,51393010,504364,697805,5935831.09691728,1625921493.6155,90.2994166637383,10.8959973350461,2.35472288542212,0,1.18825729022986,3.12335772055131,26.4412418205937,"KEN"
